Id_muestreo,Id_muestreo_no_dc,Fecha,Pc_start,Species_ayerbe,Count,Distancia_bird,Tipo_registro,Grabacion
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Bubulcus ibis,8,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Amazona ochrocephala,1,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Campylorhynchus griseus,5,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Columbina squammata,1,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Columbina talpacoti,1,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Dendroplex picus,1,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Elaenia flavogaster,4,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Eupsittula pertinax,29,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Furnarius leucopus,1,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Milvago chimachima,1,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Troglodytes aedon,1,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Crotophaga sulcirostris,6,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Saltator coerulescens,4,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Hypnelus ruficollis,4,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Megaceryle torquata,2,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Jacana jacana,4,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Butorides striata,2,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Egretta caerulea,2,< 25,NA,NA
C-MB-A-ED_01,MB-A-ED_01,2017-11-04,06:16:00,Tyrannus melancholicus,2,< 25,NA,NA
C-MB-A-ED_02,MB-A-ED_02,2017-11-04,07:27:00,Ortalis garrula,14,< 25,NA,NA
C-MB-A-ED_02,MB-A-ED_02,2017-11-04,07:27:00,Egretta thula,1,< 25,NA,NA
C-MB-A-ED_02,MB-A-ED_02,2017-11-04,07:27:00,Jacana jacana,4,< 25,NA,NA
C-MB-A-ED_02,MB-A-ED_02,2017-11-04,07:27:00,Troglodytes aedon,1,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Myiarchus tuberculifer,2,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Volatinia jacarina,4,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Pyrocephalus rubinus,4,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Columbina squammata,4,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Lepidopyga coeruleogularis,2,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Troglodytes aedon,4,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Bubulcus ibis,10,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Campylorhynchus griseus,4,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Dendroplex picus,1,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Butorides striata,1,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Ardea alba,2,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Columbina talpacoti,8,< 25,NA,NA
C-MB-A-ED_03,MB-A-ED_03,2017-11-04,07:44:00,Psarocolius decumanus,4,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Jacana jacana,8,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Volatinia jacarina,6,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Eupsittula pertinax,6,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Pitangus sulphuratus,6,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Hypnelus ruficollis,4,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Columbina talpacoti,2,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Rupornis magnirostris,2,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Furnarius leucopus,2,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Chloroceryle americana,2,< 25,NA,NA
C-MB-A-ED_04,MB-A-ED_04,2017-11-04,08:03:00,Butorides striata,2,< 25,NA,NA
C-MB-A-LF_01,MB-A-LF_01,2016-11-28,06:24:00,Crotophaga major,2,< 25,NA,NA
C-MB-A-LF_01,MB-A-LF_01,2016-11-28,06:24:00,Crotophaga sulcirostris,2,< 25,NA,NA
C-MB-A-LF_01,MB-A-LF_01,2016-11-28,06:24:00,Tolmomyias sulphurescens,4,< 25,NA,NA
C-MB-A-LF_02,MB-A-LF_02,2016-11-28,07:59:00,Crotophaga sulcirostris,2,< 25,NA,NA
C-MB-A-LF_02,MB-A-LF_02,2016-11-28,07:59:00,Todirostrum nigriceps,2,< 25,NA,NA
C-MB-A-LF_03,MB-A-LF_03,2016-11-28,08:26:00,Columbina talpacoti,2,< 25,NA,NA
C-MB-A-LF_03,MB-A-LF_03,2016-11-28,08:26:00,Myiarchus tuberculifer,4,< 25,NA,NA
C-MB-A-LF_04,MB-A-LF_04,2016-11-28,08:59:00,Dryocopus lineatus,2,< 25,NA,NA
C-MB-A-LF_04,MB-A-LF_04,2016-11-28,08:59:00,Campylorhynchus nuchalis,2,< 25,NA,NA
C-MB-A-LF_04,MB-A-LF_04,2016-11-28,08:59:00,Machetornis rixosa,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Crotophaga sulcirostris,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Columbina squammata,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Pyrocephalus rubinus,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Campylorhynchus nuchalis,4,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Icterus nigrogularis,14,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Campylorhynchus griseus,6,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Columbina talpacoti,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Tringa solitaria,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Tyrannus melancholicus,16,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Rupornis magnirostris,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Megarynchus pitangua,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Coragyps atratus,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Stelgidopteryx ruficollis,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Icterus galbula,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Galbula ruficauda,2,< 25,NA,NA
C-MB-A-VE_01,MB-A-VE_01,2016-11-29,06:27:00,Myiarchus tuberculifer,4,< 25,NA,NA
C-MB-A-VE_02,MB-A-VE_02,2016-11-29,08:55:00,Columbina talpacoti,8,< 25,NA,NA
C-MB-A-VE_02,MB-A-VE_02,2016-11-29,08:55:00,Rupornis magnirostris,2,< 25,NA,NA
C-MB-A-VE_02,MB-A-VE_02,2016-11-29,08:55:00,Megarynchus pitangua,2,< 25,NA,NA
C-MB-A-VE_02,MB-A-VE_02,2016-11-29,08:55:00,Setophaga petechia,2,< 25,NA,NA
C-MB-A-VE_02,MB-A-VE_02,2016-11-29,08:55:00,Cathartes aura,2,< 25,NA,NA
C-MB-A-VE_02,MB-A-VE_02,2016-11-29,08:55:00,Thraupis glaucocolpa,2,< 25,NA,NA
C-MB-A-VE_02,MB-A-VE_02,2016-11-29,08:55:00,Coereba flaveola,2,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Cathartes burrovianus,4,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Columbina talpacoti,4,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Pyrocephalus rubinus,4,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Forpus xanthopterygius,2,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Campylorhynchus griseus,4,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Myiarchus tuberculifer,2,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Melanerpes rubricapillus,2,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Cathartes aura,2,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Jacana jacana,4,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Vanellus chilensis,2,< 25,NA,NA
C-MB-A-VE_03,MB-A-VE_03,2016-11-29,07:47:00,Icterus nigrogularis,2,< 25,NA,NA
C-MB-A-VE_04,MB-A-VE_04,2016-11-29,08:29:00,Cathartes burrovianus,2,< 25,NA,NA
C-MB-A-VE_04,MB-A-VE_04,2016-11-29,08:29:00,Campylorhynchus griseus,2,< 25,NA,NA
C-MB-A-VE_04,MB-A-VE_04,2016-11-29,08:29:00,Tyrannus melancholicus,2,< 25,NA,NA
C-MB-A-VE_04,MB-A-VE_04,2016-11-29,08:29:00,Pyrocephalus rubinus,2,< 25,NA,NA
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Zonotrichia capensis,8,< 25,NA,NA
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Myiozetetes similis,2,< 25,NA,NA
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Tyrannus melancholicus,2,< 25,NA,NA
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Thraupis episcopus,2,< 25,NA,NA
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Turdus fuscater,2,< 25,NA,NA
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Mimus gilvus,4,< 25,NA,NA
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Tyrannus melancholicus,4,< 25,NA,NA
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Thraupis episcopus,2,< 25,NA,NA
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Troglodytes aedon,2,< 25,NA,NA
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Zonotrichia capensis,2,< 25,NA,NA
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Egretta thula,2,< 25,NA,NA
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Columbina talpacoti,2,< 25,NA,NA
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Bubulcus ibis,2,< 25,NA,NA
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Columbina talpacoti,2,< 25,NA,NA
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Mimus gilvus,2,< 25,NA,NA
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Thraupis episcopus,2,< 25,NA,NA
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Zonotrichia capensis,4,< 25,NA,NA
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Troglodytes aedon,2,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Elanus leucurus,2,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Bubulcus ibis,2,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Zenaida auriculata,4,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Egretta thula,2,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Setophaga fusca,2,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Thraupis episcopus,2,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Troglodytes aedon,2,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Turdus fuscater,4,< 25,NA,NA
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Tyrannus melancholicus,2,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Turdus fuscater,4,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Zenaida auriculata,6,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Setophaga ruticilla,2,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Zonotrichia capensis,4,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Tyrannus melancholicus,2,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Setophaga fusca,2,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Machetornis rixosa,2,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Phyllomyias nigrocapillus,2,< 25,NA,NA
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Anisognathus igniventris,4,< 25,NA,NA
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Phyllomyias nigrocapillus,4,< 25,NA,NA
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Coragyps atratus,10,< 25,NA,NA
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Zonotrichia capensis,6,< 25,NA,NA
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Zenaida auriculata,2,< 25,NA,NA
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Troglodytes aedon,4,< 25,NA,NA
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Pyrocephalus rubinus,6,< 25,NA,NA
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Machetornis rixosa,2,< 25,NA,NA
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Tyrannus melancholicus,6,< 25,NA,NA
